epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10510.7,1.53795,1.22225,1.76472,0.65241,0.78409,0.77452,0.36358,1.60258,1.14427,1.93279,0.00098525,0.00098525,0.00098525
43,10760.3,1.52094,1.20621,1.74212,0.77769,0.80682,0.7744,0.34233,1.65678,1.1533,2.01855,0.0009605,0.0009605,0.0009605
44,11009,1.56916,1.19783,1.78704,0.66781,0.91382,0.74766,0.34449,1.62561,1.17502,1.93955,0.00093575,0.00093575,0.00093575
45,11258.7,1.56323,1.23632,1.7868,0.75358,0.76454,0.79194,0.39414,1.57176,1.13944,1.93121,0.000911,0.000911,0.000911
46,11507.3,1.57621,1.19484,1.7679,0.77536,0.78409,0.81024,0.37981,1.63173,1.10552,1.95423,0.00088625,0.00088625,0.00088625
47,11756.4,1.60871,1.2323,1.80882,0.67579,0.81818,0.83086,0.36146,1.63253,1.17879,1.969,0.0008615,0.0008615,0.0008615
48,12005.5,1.52902,1.24116,1.76797,0.71756,0.77273,0.75981,0.38834,1.50263,1.14362,1.91359,0.00083675,0.00083675,0.00083675
49,12253.6,1.55666,1.2225,1.75891,0.86788,0.80682,0.85842,0.42168,1.61401,1.08548,1.92,0.000812,0.000812,0.000812
50,12501.3,1.57694,1.21056,1.78766,0.69794,0.71591,0.75604,0.38156,1.56363,1.12799,1.9361,0.00078725,0.00078725,0.00078725
51,12752.4,1.54473,1.19916,1.78913,0.75374,0.80001,0.80737,0.3881,1.52686,1.11551,1.91382,0.0007625,0.0007625,0.0007625
52,13002.6,1.51759,1.20826,1.76467,0.75616,0.75,0.74808,0.36684,1.50281,1.13974,1.89706,0.00073775,0.00073775,0.00073775
53,13253,1.54832,1.15586,1.77731,0.81354,0.84288,0.87595,0.42755,1.62836,1.09919,1.90201,0.000713,0.000713,0.000713
54,13503.1,1.53749,1.21036,1.77049,0.74161,0.75016,0.78876,0.39223,1.55804,1.09936,1.88889,0.00068825,0.00068825,0.00068825
55,13753,1.53043,1.21116,1.75926,0.70428,0.79545,0.81107,0.39835,1.54773,1.13052,1.90263,0.0006635,0.0006635,0.0006635
56,14003,1.50035,1.21836,1.75414,0.65414,0.79545,0.73681,0.35961,1.56952,1.14965,1.93411,0.00063875,0.00063875,0.00063875
57,14253.7,1.53298,1.18112,1.7583,0.73872,0.86364,0.83801,0.39833,1.5829,1.12484,1.93498,0.000614,0.000614,0.000614
58,14504.1,1.52812,1.16867,1.7344,0.78208,0.85647,0.84274,0.39639,1.60445,1.10198,1.94272,0.00058925,0.00058925,0.00058925
59,14754.3,1.54634,1.18324,1.76742,0.70516,0.86364,0.81389,0.36472,1.61918,1.14962,1.95149,0.0005645,0.0005645,0.0005645
60,15005.3,1.51762,1.22275,1.75248,0.74898,0.73864,0.80636,0.38527,1.5705,1.15326,1.93569,0.00053975,0.00053975,0.00053975
61,15255.5,1.49471,1.19949,1.74694,0.75825,0.71285,0.82435,0.39397,1.5605,1.11431,1.91005,0.000515,0.000515,0.000515
62,15503.8,1.53933,1.18619,1.78693,0.73087,0.77152,0.81232,0.36105,1.59841,1.1503,1.93846,0.00049025,0.00049025,0.00049025
63,15754.8,1.54335,1.19522,1.76035,0.65471,0.80682,0.7571,0.36815,1.52692,1.15887,1.90706,0.0004655,0.0004655,0.0004655
64,16006.1,1.44205,1.17844,1.73202,0.71172,0.72947,0.78147,0.3918,1.5791,1.10394,1.93952,0.00044075,0.00044075,0.00044075
65,16257.3,1.49301,1.18001,1.74625,0.75426,0.76737,0.82575,0.3979,1.58407,1.09887,1.94559,0.000416,0.000416,0.000416
66,16507.3,1.48779,1.17554,1.72698,0.73398,0.6898,0.7854,0.40223,1.54797,1.0922,1.91945,0.00039125,0.00039125,0.00039125
67,16757.7,1.47568,1.19301,1.73754,0.75219,0.76136,0.80291,0.40718,1.543,1.09528,1.91191,0.0003665,0.0003665,0.0003665
68,17006.8,1.47738,1.16985,1.73589,0.74455,0.76179,0.81686,0.40284,1.554,1.09056,1.92974,0.00034175,0.00034175,0.00034175
69,17256.6,1.49928,1.16612,1.74421,0.74522,0.76449,0.79524,0.40792,1.53741,1.10891,1.93437,0.000317,0.000317,0.000317
70,17506.4,1.4852,1.16593,1.73957,0.67525,0.70887,0.75394,0.38597,1.53533,1.12918,1.9243,0.00029225,0.00029225,0.00029225
71,17755.6,1.52916,1.12862,1.89232,0.71915,0.69839,0.76553,0.37762,1.55211,1.12806,1.92354,0.0002675,0.0002675,0.0002675
72,18003.4,1.52916,1.09014,1.90708,0.7461,0.71591,0.7853,0.3884,1.51696,1.10956,1.90804,0.00024275,0.00024275,0.00024275
73,18250.4,1.54532,1.06749,1.9035,0.6633,0.82955,0.77908,0.39745,1.53449,1.0861,1.90319,0.000218,0.000218,0.000218
74,18496.7,1.54003,1.06798,1.89712,0.63614,0.81457,0.78487,0.39395,1.55682,1.07757,1.92116,0.00019325,0.00019325,0.00019325
75,18744,1.51105,1.07147,1.88887,0.69955,0.76136,0.77632,0.37763,1.52889,1.10824,1.92724,0.0001685,0.0001685,0.0001685
76,18992,1.51376,1.08096,1.90743,0.74834,0.74344,0.78589,0.38157,1.53385,1.10374,1.92695,0.00014375,0.00014375,0.00014375
77,19239.6,1.51354,1.05782,1.89523,0.79512,0.74971,0.82126,0.38531,1.55996,1.09245,1.9317,0.000119,0.000119,0.000119
78,19487.7,1.48868,1.05779,1.86213,0.7722,0.77044,0.80582,0.38286,1.58122,1.08567,1.93918,9.425e-05,9.425e-05,9.425e-05
79,19735.5,1.52155,1.05812,1.89122,0.73422,0.73864,0.79046,0.37467,1.55657,1.09378,1.924,6.95e-05,6.95e-05,6.95e-05
80,19983.1,1.49498,1.05814,1.85121,0.74075,0.73864,0.78952,0.387,1.54635,1.09665,1.92278,4.475e-05,4.475e-05,4.475e-05
